Model,Accuracy,Precision,Recall,F1-score,ROC-AUC
Logistic Regression,0.7458094631869298,0.7372013651877133,0.7638987126892064,0.7503126302626094,0.8232188552404137
Decision Tree,0.7306032958483627,0.7118533922537041,0.7747913424812561,0.741990110411163,0.8057872260560333
