k,Inertia,Silhouette_Score
2,817336.2557207725,0.22269527819425083
3,747698.0849296206,0.1217760354788747
4,690754.0639821457,0.134035507515502
5,658458.1205772394,0.12033267975523934
6,624449.6260915883,0.12403533924424255
7,599119.8268746496,0.12232807594351652
